epoch,train_loss,val_loss,val_bal_acc,lr
1,1.0883,0.7372,0.269,3.18e-06
2,0.7234,0.5681,0.2885,3.18e-06
3,0.576,0.4764,0.3089,3.18e-06
4,0.504,0.4349,0.3554,3.18e-06
5,0.4631,0.4008,0.3778,3.18e-06
6,0.4327,0.3722,0.4155,3.18e-06
7,0.4231,0.3567,0.4285,3.18e-06
8,0.3872,0.3404,0.4704,3.18e-06
9,0.381,0.3308,0.4969,3.18e-06
10,0.3657,0.3195,0.542,3.18e-06
11,0.3522,0.3117,0.5389,3.18e-06
12,0.3473,0.3065,0.5398,3.18e-06
13,0.3366,0.3003,0.5216,3.18e-06
14,0.3364,0.2929,0.5626,3.18e-06
15,0.3192,0.291,0.5373,3.18e-06
16,0.3127,0.2823,0.5619,3.18e-06
17,0.3023,0.2787,0.5531,3.18e-06
18,0.3033,0.27,0.5837,3.18e-06
19,0.294,0.2657,0.5949,3.18e-06
20,0.2916,0.2661,0.5754,3.18e-06
