epoch,train_loss,val_loss,val_bal_acc,lr
1,1.6176,1.2969,0.3063,3.18e-06
2,1.2286,1.1085,0.3341,3.18e-06
3,1.0151,0.9349,0.3389,3.18e-06
4,0.8929,0.8644,0.4211,3.18e-06
5,0.8112,0.7835,0.4432,3.18e-06
6,0.7581,0.7307,0.4666,3.18e-06
7,0.7352,0.6991,0.4749,3.18e-06
8,0.6886,0.6794,0.4776,3.18e-06
9,0.6795,0.6528,0.4775,3.18e-06
10,0.6468,0.6393,0.4879,3.18e-06
11,0.6311,0.6217,0.4845,3.18e-06
12,0.6253,0.6194,0.4879,3.18e-06
13,0.5977,0.6061,0.4885,3.18e-06
14,0.6036,0.6268,0.5095,3.18e-06
15,0.5764,0.61,0.496,3.18e-06
16,0.5736,0.6193,0.5133,3.18e-06
17,0.5629,0.5941,0.5048,3.18e-06
18,0.5574,0.5904,0.5162,3.18e-06
19,0.5415,0.5873,0.5111,3.18e-06
20,0.5347,0.5971,0.5111,3.18e-06
