epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.0672,1.5536,0.4508,0.1696,0.1557,0.165,0.1696,4e-05
2,0.6109,1.1641,0.6795,0.2774,0.3027,0.3965,0.2774,7e-05
3,0.4525,0.7759,0.7504,0.4604,0.4866,0.5669,0.4604,0.0001
4,0.3738,0.522,0.7878,0.5483,0.5748,0.6393,0.5483,0.0001
5,0.2971,0.3866,0.8318,0.6698,0.7068,0.7738,0.6698,9.9e-05
6,0.2543,0.3234,0.8482,0.6925,0.7277,0.7906,0.6925,9.9e-05
7,0.2066,0.2897,0.8492,0.709,0.7453,0.8077,0.709,9.8e-05
8,0.1822,0.2706,0.8577,0.7429,0.7674,0.8073,0.7429,9.7e-05
9,0.1631,0.2602,0.8582,0.745,0.7647,0.8005,0.745,9.5e-05
10,0.1425,0.2535,0.8562,0.7411,0.7617,0.8029,0.7411,9.3e-05
11,0.1251,0.252,0.8582,0.7435,0.7624,0.8002,0.7435,9.1e-05
12,0.1159,0.2516,0.8587,0.7445,0.7612,0.7963,0.7445,8.9e-05
13,0.0995,0.2531,0.8607,0.7479,0.7631,0.7942,0.7479,8.7e-05
14,0.089,0.2577,0.8592,0.7466,0.7628,0.7935,0.7466,8.4e-05
15,0.0813,0.2592,0.8612,0.7544,0.7672,0.7945,0.7544,8.1e-05
16,0.0665,0.2616,0.8637,0.7539,0.7686,0.7998,0.7539,7.8e-05
17,0.0589,0.2683,0.8632,0.7625,0.7738,0.7958,0.7625,7.5e-05
18,0.0561,0.2769,0.8622,0.7661,0.7747,0.7941,0.7661,7.2e-05
19,0.0435,0.2893,0.8602,0.7603,0.7698,0.7921,0.7603,6.9e-05
20,0.0408,0.2983,0.8617,0.7648,0.7742,0.7968,0.7648,6.5e-05
21,0.0425,0.3084,0.8622,0.7681,0.778,0.804,0.7681,6.2e-05
22,0.0367,0.3196,0.8597,0.7658,0.7778,0.807,0.7658,5.8e-05
23,0.0333,0.324,0.8567,0.7561,0.7672,0.7938,0.7561,5.4e-05
24,0.0261,0.3322,0.8587,0.7574,0.7707,0.804,0.7574,5.1e-05
25,0.0281,0.3388,0.8567,0.7563,0.7729,0.8115,0.7563,4.7e-05
26,0.0238,0.3439,0.8572,0.7574,0.7724,0.805,0.7574,4.3e-05
27,0.0195,0.3535,0.8562,0.757,0.7699,0.7961,0.757,3.9e-05
28,0.0194,0.3616,0.8562,0.767,0.7795,0.8034,0.767,3.6e-05
29,0.0181,0.3656,0.8632,0.7741,0.7898,0.8149,0.7741,3.2e-05
30,0.0149,0.3692,0.8607,0.7633,0.781,0.8099,0.7633,2.9e-05
31,0.0162,0.3729,0.8627,0.7676,0.7856,0.8183,0.7676,2.6e-05
32,0.014,0.3771,0.8637,0.7739,0.7901,0.8185,0.7739,2.3e-05
33,0.0132,0.3792,0.8642,0.7751,0.79,0.817,0.7751,2e-05
34,0.0138,0.3795,0.8657,0.7682,0.7869,0.8189,0.7682,1.7e-05
35,0.0124,0.381,0.8697,0.7791,0.7921,0.8145,0.7791,1.4e-05
36,0.0117,0.3833,0.8687,0.7784,0.7915,0.8141,0.7784,1.2e-05
37,0.0117,0.3826,0.8677,0.7731,0.791,0.8231,0.7731,1e-05
38,0.012,0.3828,0.8662,0.7715,0.7875,0.8149,0.7715,8e-06
39,0.0111,0.3834,0.8672,0.7733,0.7883,0.8152,0.7733,6e-06
40,0.0111,0.3828,0.8677,0.774,0.7879,0.8134,0.774,4e-06
41,0.0111,0.3821,0.8682,0.7701,0.7836,0.806,0.7701,3e-06
42,0.0107,0.383,0.8672,0.7683,0.782,0.8049,0.7683,2e-06
43,0.0098,0.3842,0.8667,0.7677,0.7845,0.8128,0.7677,2e-06
44,0.0104,0.3846,0.8662,0.7676,0.7842,0.8121,0.7676,1e-06
45,0.0105,0.3851,0.8667,0.7677,0.7846,0.8128,0.7677,1e-06
