epoch,train_loss,val_loss,val_bal_acc,lr
1,1.2735,1.1415,0.1778,4e-05
2,0.6226,1.0202,0.3241,7e-05
3,0.4192,0.8179,0.4845,0.0001
4,0.3451,0.6136,0.6121,0.0001
5,0.2891,0.4792,0.6928,9.9e-05
6,0.2614,0.3975,0.7406,9.9e-05
7,0.2344,0.3521,0.7683,9.8e-05
8,0.2041,0.3222,0.7873,9.7e-05
9,0.1898,0.3014,0.7966,9.5e-05
10,0.1647,0.2864,0.8094,9.3e-05
11,0.1619,0.2778,0.8166,9.1e-05
12,0.1496,0.2769,0.8105,8.9e-05
13,0.144,0.277,0.8104,8.7e-05
14,0.1238,0.2763,0.8081,8.4e-05
15,0.1156,0.273,0.8223,8.1e-05
16,0.1119,0.27,0.8233,7.8e-05
17,0.0986,0.2688,0.8251,7.5e-05
18,0.094,0.2693,0.8143,7.2e-05
19,0.0904,0.2717,0.8148,6.9e-05
20,0.0804,0.2759,0.8138,6.5e-05
21,0.0793,0.2788,0.8114,6.2e-05
22,0.0744,0.2824,0.8131,5.8e-05
23,0.0634,0.2834,0.8058,5.4e-05
24,0.06,0.2845,0.8084,5.1e-05
25,0.0604,0.2867,0.817,4.7e-05
26,0.0537,0.2895,0.815,4.3e-05
27,0.0499,0.2923,0.8089,3.9e-05
28,0.0483,0.296,0.7986,3.6e-05
29,0.0456,0.2975,0.8122,3.2e-05
30,0.0439,0.3,0.8147,2.9e-05
31,0.0386,0.3023,0.8085,2.6e-05
