epoch,train_loss,val_loss,val_bal_acc,lr
1,1.2735,1.1415,0.1778,4e-05
2,0.6226,1.0202,0.3241,7e-05
3,0.4205,0.8196,0.4819,0.0001
4,0.3447,0.6164,0.5985,0.0001
5,0.2881,0.4789,0.6888,9.9e-05
6,0.2602,0.397,0.7413,9.9e-05
7,0.2377,0.3518,0.765,9.8e-05
8,0.2045,0.3226,0.7752,9.7e-05
9,0.1894,0.3028,0.7811,9.5e-05
10,0.1639,0.2901,0.8029,9.3e-05
11,0.1626,0.2819,0.8002,9.1e-05
12,0.1533,0.2804,0.7948,8.9e-05
13,0.1413,0.279,0.7946,8.7e-05
14,0.1222,0.2783,0.8083,8.4e-05
15,0.1141,0.2753,0.8102,8.1e-05
16,0.1153,0.2751,0.816,7.8e-05
17,0.1039,0.2755,0.8155,7.5e-05
18,0.0972,0.2729,0.8128,7.2e-05
19,0.0909,0.2758,0.8143,6.9e-05
20,0.0789,0.2741,0.8035,6.5e-05
21,0.076,0.2735,0.801,6.2e-05
22,0.072,0.2724,0.8008,5.8e-05
23,0.0649,0.2726,0.7935,5.4e-05
24,0.0608,0.2747,0.7948,5.1e-05
25,0.0576,0.2765,0.7998,4.7e-05
26,0.0537,0.2769,0.7987,4.3e-05
27,0.0525,0.2791,0.7961,3.9e-05
28,0.0516,0.2804,0.7951,3.6e-05
29,0.0497,0.2802,0.7896,3.2e-05
30,0.0452,0.2809,0.7956,2.9e-05
31,0.0388,0.28,0.799,2.6e-05
