epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.3422,2.0334,0.0649,0.1883,0.0467,0.3091,0.1883,4e-05
2,0.6864,1.5568,0.4076,0.3298,0.2037,0.4001,0.3298,7e-05
3,0.5053,1.0969,0.6593,0.5064,0.3664,0.4219,0.5064,0.0001
4,0.4206,0.7274,0.7423,0.5962,0.4951,0.5466,0.5962,0.0001
5,0.37,0.5212,0.7762,0.6547,0.5735,0.615,0.6547,9.9e-05
6,0.3188,0.4185,0.7932,0.6752,0.6269,0.6577,0.6752,9.9e-05
7,0.2913,0.3656,0.8027,0.6938,0.657,0.6798,0.6938,9.8e-05
8,0.2593,0.3372,0.8127,0.7102,0.6846,0.6998,0.7102,9.7e-05
9,0.2321,0.3235,0.8182,0.7181,0.7009,0.7136,0.7181,9.5e-05
10,0.2315,0.3153,0.8192,0.7064,0.6934,0.7094,0.7064,9.3e-05
11,0.2078,0.3077,0.8237,0.7131,0.7001,0.7168,0.7131,9.1e-05
12,0.1994,0.3024,0.8297,0.7205,0.7116,0.7297,0.7205,8.9e-05
13,0.1715,0.3021,0.8302,0.7265,0.7165,0.7317,0.7265,8.7e-05
14,0.1581,0.3037,0.8322,0.7323,0.7207,0.736,0.7323,8.4e-05
15,0.147,0.3047,0.8307,0.7335,0.7188,0.7277,0.7335,8.1e-05
16,0.1355,0.3053,0.8352,0.7385,0.7321,0.7463,0.7385,7.8e-05
17,0.1284,0.308,0.8327,0.7238,0.7198,0.7344,0.7238,7.5e-05
18,0.1151,0.3114,0.8367,0.7279,0.7214,0.7333,0.7279,7.2e-05
19,0.1097,0.3143,0.8342,0.7287,0.723,0.735,0.7287,6.9e-05
20,0.1016,0.3191,0.8267,0.708,0.6984,0.7069,0.708,6.5e-05
21,0.0889,0.3239,0.8292,0.7086,0.7023,0.7107,0.7086,6.2e-05
22,0.0841,0.3275,0.8292,0.7084,0.7002,0.7075,0.7084,5.8e-05
23,0.0734,0.3322,0.8272,0.713,0.7058,0.7153,0.713,5.4e-05
24,0.0727,0.3366,0.8282,0.712,0.7074,0.718,0.712,5.1e-05
25,0.0722,0.3405,0.8297,0.7062,0.7045,0.7192,0.7062,4.7e-05
26,0.0542,0.3461,0.8287,0.7123,0.7149,0.7324,0.7123,4.3e-05
27,0.0526,0.3527,0.8277,0.7058,0.711,0.7314,0.7058,3.9e-05
28,0.052,0.3595,0.8297,0.7062,0.7101,0.7296,0.7062,3.6e-05
29,0.0448,0.3664,0.8297,0.7038,0.7101,0.7323,0.7038,3.2e-05
30,0.0359,0.3752,0.8292,0.701,0.7125,0.7381,0.701,2.9e-05
31,0.0377,0.3849,0.8257,0.6971,0.7088,0.7352,0.6971,2.6e-05
