epoch,train_loss,val_loss,val_bal_acc
1,0.9444,0.6795,0.4705
2,0.5875,0.6032,0.5506
3,0.5084,0.6061,0.5544
4,0.4676,0.549,0.5715
5,0.4251,0.5847,0.5946
6,0.3853,0.5122,0.6209
7,0.3616,0.5132,0.6654
8,0.3319,0.5091,0.6511
9,0.3161,0.532,0.6391
10,0.2992,0.4928,0.6592
11,0.2944,0.4936,0.6536
12,0.2684,0.5105,0.6384
13,0.2486,0.5101,0.6564
14,0.2352,0.5315,0.6445
15,0.2183,0.508,0.6747
16,0.2146,0.5476,0.6651
17,0.1929,0.5475,0.6467
18,0.1687,0.5501,0.6626
19,0.1813,0.5469,0.6579
20,0.1625,0.5467,0.6591
21,0.1484,0.5421,0.6782
22,0.1388,0.5496,0.6706
23,0.1426,0.5588,0.6658
24,0.1436,0.5799,0.6616
25,0.1225,0.613,0.6674
26,0.1157,0.5655,0.6703
27,0.1241,0.573,0.6636
28,0.1155,0.5802,0.6759
29,0.1147,0.5799,0.679
30,0.1025,0.5912,0.6708
31,0.1074,0.5962,0.6708
32,0.1044,0.5889,0.6692
33,0.1,0.5866,0.6738
34,0.1002,0.6015,0.6762
35,0.1057,0.582,0.6731
