epoch,train_loss,val_loss,val_bal_acc,lr
1,1.4399,1.2724,0.4266,4.99e-05
2,1.0948,1.1684,0.4799,4.95e-05
3,1.0182,1.1317,0.5001,4.88e-05
4,0.9838,1.0905,0.5481,4.79e-05
5,0.9535,1.1006,0.5643,4.67e-05
6,0.9272,1.076,0.5752,4.53e-05
7,0.9134,1.0683,0.616,4.37e-05
8,0.8984,1.0826,0.6016,4.19e-05
9,0.8824,1.0759,0.5873,3.99e-05
10,0.8761,1.0451,0.6098,3.78e-05
11,0.8686,1.0522,0.6054,3.55e-05
12,0.8538,1.0799,0.6037,3.31e-05
13,0.8471,1.0442,0.6299,3.06e-05
14,0.8313,1.0284,0.6371,2.81e-05
15,0.8352,1.0463,0.6169,2.55e-05
16,0.8134,1.0419,0.644,2.29e-05
17,0.8101,1.0375,0.6318,2.04e-05
18,0.7989,1.0348,0.6449,1.79e-05
19,0.8073,1.0531,0.6191,1.55e-05
20,0.7991,1.0558,0.6156,1.33e-05
21,0.7886,1.0535,0.614,1.11e-05
22,0.7933,1.0404,0.6481,9.11e-06
23,0.7881,1.0525,0.6267,7.29e-06
24,0.7871,1.0519,0.6359,5.68e-06
25,0.7811,1.0607,0.6249,4.28e-06
26,0.7782,1.0446,0.6411,3.12e-06
27,0.7856,1.0512,0.6428,2.2e-06
28,0.7754,1.0514,0.6184,1.54e-06
29,0.7767,1.0451,0.6253,1.13e-06
30,0.7735,1.0431,0.6386,1e-06
