epoch,train_loss,val_loss,val_bal_acc
1,0.8135,0.6464,0.5121
2,0.5623,0.5986,0.5815
3,0.4891,0.5845,0.5897
4,0.4437,0.5784,0.5843
5,0.4012,0.5727,0.6068
6,0.372,0.4968,0.6357
7,0.3466,0.5198,0.6627
8,0.3114,0.5126,0.6623
9,0.2804,0.518,0.6617
10,0.2641,0.5331,0.6834
11,0.2497,0.5602,0.6758
12,0.223,0.6318,0.6765
13,0.1973,0.5547,0.6937
14,0.1867,0.5996,0.6754
15,0.1663,0.6241,0.7058
16,0.1572,0.6514,0.6991
17,0.1368,0.6311,0.6851
18,0.1144,0.6244,0.7165
19,0.1269,0.6356,0.6992
20,0.1076,0.7199,0.6823
21,0.099,0.7403,0.7026
22,0.0862,0.7325,0.6999
23,0.0807,0.7293,0.705
24,0.079,0.7404,0.6925
25,0.0746,0.7777,0.7149
26,0.0616,0.7471,0.7088
27,0.0695,0.757,0.7024
28,0.0575,0.7531,0.7095
29,0.066,0.7457,0.7035
30,0.0571,0.7466,0.7068
