epoch,train_loss,val_loss,val_bal_acc,lr
1,1.7053,1.5663,0.3579,2.99e-05
2,1.3345,1.4136,0.4453,2.97e-05
3,1.2428,1.3567,0.4747,2.93e-05
4,1.2021,1.3247,0.4886,2.87e-05
5,1.1721,1.3119,0.5117,2.81e-05
6,1.1467,1.295,0.5228,2.72e-05
7,1.1364,1.2861,0.5695,2.63e-05
8,1.1215,1.2911,0.5547,2.52e-05
9,1.1052,1.2787,0.5553,2.4e-05
10,1.1035,1.268,0.5679,2.27e-05
11,1.0952,1.2626,0.5804,2.14e-05
12,1.0895,1.2749,0.5872,2e-05
13,1.0807,1.2505,0.6022,1.85e-05
14,1.0667,1.2445,0.6156,1.7e-05
15,1.0703,1.25,0.5915,1.55e-05
16,1.0529,1.2494,0.6044,1.4e-05
17,1.0505,1.2479,0.5933,1.25e-05
18,1.0405,1.2535,0.617,1.1e-05
19,1.0489,1.2621,0.5976,9.6e-06
20,1.0428,1.2626,0.5896,8.25e-06
21,1.0379,1.2567,0.5947,6.98e-06
22,1.0397,1.2502,0.6035,5.8e-06
23,1.0368,1.2609,0.5849,4.72e-06
24,1.0362,1.2603,0.59,3.77e-06
25,1.0284,1.2672,0.5984,2.94e-06
26,1.0274,1.2567,0.5956,2.25e-06
27,1.0325,1.2558,0.6002,1.71e-06
28,1.0256,1.2642,0.5839,1.32e-06
29,1.0312,1.2557,0.5835,1.08e-06
30,1.0228,1.25,0.5976,1e-06
