epoch,train_loss,val_loss,val_bal_acc,lr
1,1.444,1.3492,0.1255,4e-05
2,0.9016,1.2429,0.2529,7e-05
3,0.5093,1.0569,0.479,0.0001
4,0.3669,0.8502,0.6069,0.0001
5,0.3095,0.6669,0.6987,9.9e-05
6,0.2579,0.5382,0.7285,9.9e-05
7,0.2281,0.4527,0.7527,9.8e-05
8,0.2013,0.3975,0.7641,9.7e-05
9,0.1771,0.3573,0.7823,9.5e-05
10,0.159,0.3314,0.7878,9.3e-05
11,0.1474,0.3176,0.7961,9.1e-05
12,0.1405,0.3098,0.7874,8.9e-05
13,0.1217,0.3038,0.7962,8.7e-05
14,0.1161,0.3008,0.7942,8.4e-05
15,0.1083,0.2973,0.798,8.1e-05
16,0.1036,0.2947,0.786,7.8e-05
17,0.0948,0.2914,0.7893,7.5e-05
18,0.0931,0.2884,0.7862,7.2e-05
19,0.0874,0.2847,0.7887,6.9e-05
20,0.0851,0.2813,0.7893,6.5e-05
21,0.0794,0.279,0.7888,6.2e-05
22,0.0798,0.2776,0.791,5.8e-05
23,0.0695,0.2758,0.7963,5.4e-05
24,0.0682,0.277,0.7935,5.1e-05
25,0.0674,0.2774,0.7875,4.7e-05
26,0.0599,0.2776,0.7784,4.3e-05
27,0.0604,0.279,0.7852,3.9e-05
