epoch,train_loss,val_loss,val_bal_acc,lr
1,1.249,0.921,0.6259,9.9e-05
2,0.93,0.9607,0.6962,9.8e-05
3,0.8187,0.7425,0.7287,9.5e-05
4,0.7404,0.6776,0.7144,9e-05
5,0.6482,0.7884,0.7053,8.5e-05
6,0.5843,0.7579,0.7125,7.9e-05
7,0.5548,0.7349,0.7106,7.3e-05
8,0.4932,0.6507,0.7452,6.5e-05
9,0.487,0.623,0.7374,5.8e-05
10,0.4206,0.5531,0.7682,5e-05
11,0.3897,0.5697,0.7591,4.2e-05
12,0.3467,0.6308,0.7602,3.5e-05
13,0.3193,0.5371,0.7825,2.7e-05
14,0.2935,0.5941,0.7517,2.1e-05
15,0.2741,0.57,0.7434,1.5e-05
16,0.2663,0.5777,0.7565,1e-05
17,0.2507,0.5769,0.7466,5e-06
18,0.2401,0.5759,0.7668,2e-06
19,0.2314,0.588,0.7541,1e-06
20,0.2275,0.5727,0.7698,0.0
