epoch,train_loss,val_loss,val_bal_acc
1,0.7742,0.609,0.5271
2,0.597,0.649,0.5272
3,0.5443,0.5548,0.6167
4,0.4907,0.5608,0.5707
5,0.4796,0.6473,0.5624
6,0.4449,0.5445,0.6029
7,0.4233,0.5335,0.624
8,0.3925,0.6042,0.6209
9,0.3824,0.5004,0.6226
10,0.3568,0.5366,0.6121
11,0.3422,0.5814,0.5815
12,0.3279,0.4883,0.6349
13,0.3001,0.5437,0.6566
14,0.2987,0.5832,0.643
15,0.2682,0.5635,0.6533
16,0.2624,0.545,0.6511
17,0.2524,0.6318,0.638
18,0.2239,0.5799,0.6643
19,0.2126,0.6046,0.6504
20,0.1967,0.6144,0.6762
21,0.1909,0.6981,0.6512
22,0.1814,0.6454,0.6542
23,0.1655,0.6589,0.6553
24,0.153,0.6193,0.6862
25,0.1429,0.6301,0.6571
26,0.1273,0.6132,0.6891
27,0.1189,0.6291,0.6931
28,0.1164,0.6421,0.6779
29,0.1052,0.6299,0.6939
30,0.1093,0.6582,0.7001
31,0.1092,0.6718,0.6919
32,0.1035,0.674,0.6924
33,0.0966,0.6891,0.6967
34,0.0999,0.6849,0.6947
35,0.093,0.678,0.7082
