epoch,train_loss,val_loss,val_bal_acc,lr
1,1.2507,1.1587,0.4818,4.99e-05
2,1.0857,1.1424,0.5421,4.95e-05
3,1.0308,1.086,0.5937,4.88e-05
4,0.982,1.1092,0.5061,4.79e-05
5,0.9642,1.1078,0.5735,4.67e-05
6,0.9387,1.0805,0.5772,4.53e-05
7,0.9322,1.0499,0.6227,4.37e-05
8,0.9003,1.0923,0.6073,4.19e-05
9,0.8903,1.0368,0.6313,3.99e-05
10,0.8794,1.0431,0.6426,3.78e-05
11,0.8711,1.0501,0.5901,3.55e-05
12,0.8539,1.055,0.6185,3.31e-05
13,0.8398,1.081,0.6141,3.06e-05
14,0.8295,1.1096,0.6024,2.81e-05
15,0.8135,1.0589,0.618,2.55e-05
16,0.8098,1.037,0.6288,2.29e-05
17,0.8044,1.0505,0.6304,2.04e-05
18,0.7892,1.0606,0.6584,1.79e-05
19,0.7826,1.049,0.6543,1.55e-05
20,0.773,1.0502,0.657,1.33e-05
21,0.7673,1.0771,0.6334,1.11e-05
22,0.7681,1.0611,0.6403,9.11e-06
23,0.7589,1.0556,0.6407,7.29e-06
24,0.7541,1.0711,0.6537,5.68e-06
25,0.7533,1.0637,0.6442,4.28e-06
26,0.7468,1.0457,0.6423,3.12e-06
27,0.7356,1.0483,0.6577,2.2e-06
28,0.7425,1.052,0.6322,1.54e-06
29,0.7332,1.0534,0.6463,1.13e-06
30,0.7397,1.0529,0.6422,1e-06
