epoch,train_loss,val_loss,val_bal_acc,lr
1,0.2621,0.469,0.2447,0.0001
2,0.187,0.3566,0.3287,0.0001
3,0.161,0.2603,0.4778,9.9e-05
4,0.1442,0.2062,0.5975,9.8e-05
5,0.1299,0.1737,0.6565,9.7e-05
6,0.1132,0.1549,0.7207,9.6e-05
7,0.1115,0.1451,0.7227,9.4e-05
8,0.0988,0.1364,0.7454,9.2e-05
9,0.0927,0.1312,0.7609,9.1e-05
10,0.0879,0.1268,0.7738,8.8e-05
11,0.0842,0.1232,0.7804,8.6e-05
12,0.0787,0.121,0.7715,8.4e-05
13,0.0734,0.1174,0.7777,8.1e-05
14,0.0697,0.1161,0.7942,7.8e-05
15,0.0631,0.119,0.7914,7.5e-05
16,0.0612,0.1198,0.7951,7.2e-05
17,0.0553,0.1206,0.7863,6.9e-05
18,0.052,0.123,0.7842,6.6e-05
19,0.0487,0.1282,0.7921,6.2e-05
20,0.0465,0.1338,0.7977,5.9e-05
21,0.0448,0.1353,0.7993,5.6e-05
22,0.0437,0.1391,0.8023,5.2e-05
23,0.0402,0.1406,0.7925,4.9e-05
24,0.0343,0.1437,0.7949,4.5e-05
25,0.0339,0.1451,0.7934,4.2e-05
26,0.0304,0.1473,0.7972,3.9e-05
27,0.0288,0.1483,0.7989,3.5e-05
28,0.0257,0.1518,0.7962,3.2e-05
29,0.0235,0.1574,0.7807,2.9e-05
30,0.0234,0.1624,0.7768,2.6e-05
31,0.0233,0.1664,0.7689,2.3e-05
32,0.0218,0.1704,0.7717,2e-05
33,0.0197,0.1724,0.773,1.7e-05
34,0.0192,0.1761,0.7763,1.5e-05
35,0.0181,0.18,0.7765,1.3e-05
36,0.0171,0.1835,0.7697,1e-05
37,0.016,0.1858,0.7723,9e-06
38,0.0165,0.1888,0.7722,7e-06
39,0.0164,0.1908,0.7727,5e-06
40,0.0144,0.1924,0.7718,4e-06
41,0.0148,0.1945,0.7682,3e-06
42,0.0141,0.1966,0.77,2e-06
43,0.014,0.1981,0.77,1e-06
44,0.0129,0.1994,0.7694,1e-06
