epoch,train_loss,val_loss,val_bal_acc,lr
1,1.1833,1.1344,0.2013,4e-05
2,0.5519,0.9091,0.3211,7e-05
3,0.3896,0.6586,0.4893,0.0001
4,0.3269,0.4603,0.5865,0.0001
5,0.2774,0.3517,0.6628,9.9e-05
6,0.2354,0.2956,0.7562,9.9e-05
7,0.2182,0.2761,0.7653,9.8e-05
8,0.185,0.2663,0.7741,9.7e-05
9,0.1753,0.2619,0.7772,9.5e-05
10,0.1591,0.2604,0.7939,9.3e-05
11,0.1519,0.2614,0.7948,9.1e-05
12,0.1337,0.2642,0.8013,8.9e-05
13,0.1282,0.2604,0.8133,8.7e-05
14,0.1187,0.2614,0.8073,8.4e-05
15,0.112,0.2599,0.8065,8.1e-05
16,0.106,0.2601,0.811,7.8e-05
17,0.0988,0.2604,0.7912,7.5e-05
18,0.0863,0.266,0.8089,7.2e-05
19,0.0832,0.2654,0.7994,6.9e-05
20,0.0811,0.2657,0.8068,6.5e-05
21,0.0689,0.2686,0.7998,6.2e-05
22,0.0687,0.2683,0.8018,5.8e-05
23,0.064,0.27,0.7948,5.4e-05
24,0.0558,0.2708,0.8038,5.1e-05
25,0.0549,0.2712,0.7975,4.7e-05
26,0.0531,0.2732,0.8005,4.3e-05
27,0.0496,0.2792,0.7934,3.9e-05
28,0.0442,0.2821,0.8033,3.6e-05
