epoch,train_loss,val_loss,val_bal_acc,lr
1,1.2217,1.1794,0.2062,4e-05
2,0.625,0.973,0.3178,7e-05
3,0.4632,0.7404,0.4803,0.0001
4,0.3972,0.5488,0.5917,0.0001
5,0.3463,0.4454,0.6691,9.9e-05
6,0.306,0.3945,0.7295,9.9e-05
7,0.2732,0.3698,0.7663,9.8e-05
8,0.2399,0.3518,0.7802,9.7e-05
9,0.2294,0.341,0.7928,9.5e-05
10,0.214,0.3355,0.8038,9.3e-05
11,0.2022,0.3346,0.81,9.1e-05
12,0.1861,0.3326,0.8089,8.9e-05
13,0.1736,0.3297,0.8,8.7e-05
14,0.1658,0.3304,0.8045,8.4e-05
15,0.1505,0.3285,0.7963,8.1e-05
16,0.1511,0.3264,0.7996,7.8e-05
17,0.1368,0.3209,0.8056,7.5e-05
18,0.1187,0.3184,0.797,7.2e-05
19,0.1192,0.3145,0.7913,6.9e-05
20,0.1162,0.3077,0.8162,6.5e-05
21,0.1048,0.3058,0.7959,6.2e-05
22,0.1027,0.3065,0.7975,5.8e-05
23,0.0986,0.3091,0.7888,5.4e-05
24,0.0906,0.3097,0.7914,5.1e-05
25,0.0864,0.3083,0.7844,4.7e-05
26,0.0824,0.3075,0.7835,4.3e-05
