epoch,train_loss,val_loss,val_bal_acc,lr
1,1.7095,1.2128,0.1944,4e-05
2,1.2271,1.1424,0.2144,7e-05
3,0.8204,0.9865,0.3056,0.0001
4,0.6051,0.8007,0.4073,0.0001
5,0.5017,0.6435,0.5305,9.9e-05
6,0.43,0.5363,0.5974,9.9e-05
7,0.3959,0.4678,0.6503,9.8e-05
8,0.3413,0.4209,0.6721,9.7e-05
9,0.328,0.3972,0.6841,9.5e-05
10,0.3048,0.3803,0.707,9.3e-05
11,0.2889,0.3694,0.7214,9.1e-05
12,0.2654,0.3625,0.7265,8.9e-05
13,0.2666,0.3553,0.737,8.7e-05
14,0.2481,0.3501,0.7423,8.4e-05
15,0.2317,0.3456,0.7449,8.1e-05
16,0.2324,0.339,0.7474,7.8e-05
17,0.2312,0.3319,0.747,7.5e-05
18,0.2121,0.3284,0.7446,7.2e-05
19,0.2035,0.3244,0.7527,6.9e-05
20,0.2034,0.3207,0.7536,6.5e-05
21,0.188,0.3171,0.7596,6.2e-05
22,0.1839,0.3141,0.7629,5.8e-05
23,0.1855,0.3104,0.7623,5.4e-05
24,0.178,0.3101,0.7652,5.1e-05
25,0.1765,0.3091,0.7626,4.7e-05
26,0.1753,0.3046,0.7596,4.3e-05
27,0.1633,0.3049,0.76,3.9e-05
28,0.1648,0.3034,0.7561,3.6e-05
29,0.1635,0.3006,0.7585,3.2e-05
30,0.1615,0.2987,0.7578,2.9e-05
31,0.1497,0.2985,0.7567,2.6e-05
32,0.1544,0.2994,0.7541,2.3e-05
33,0.1495,0.2983,0.758,2e-05
34,0.1434,0.2976,0.7588,1.7e-05
35,0.1447,0.2982,0.7588,1.4e-05
36,0.145,0.2999,0.7546,1.2e-05
37,0.1383,0.3007,0.7563,1e-05
