epoch,train_loss,val_loss,val_bal_acc,lr
1,1.2217,1.1794,0.2062,4e-05
2,0.625,0.973,0.3178,7e-05
3,0.4631,0.7412,0.4801,0.0001
4,0.3989,0.55,0.5958,0.0001
5,0.3421,0.4386,0.6621,9.9e-05
6,0.3034,0.3866,0.7438,9.9e-05
7,0.2726,0.3643,0.7793,9.8e-05
8,0.2414,0.3489,0.7813,9.7e-05
9,0.2264,0.3404,0.7978,9.5e-05
10,0.2134,0.3342,0.8114,9.3e-05
11,0.1983,0.3301,0.8081,9.1e-05
12,0.1796,0.328,0.8102,8.9e-05
13,0.1718,0.3265,0.8097,8.7e-05
14,0.1646,0.326,0.809,8.4e-05
15,0.1535,0.3259,0.801,8.1e-05
16,0.148,0.324,0.7968,7.8e-05
17,0.1369,0.3208,0.7974,7.5e-05
18,0.1202,0.3213,0.7939,7.2e-05
19,0.1171,0.3182,0.7865,6.9e-05
20,0.1159,0.317,0.7886,6.5e-05
21,0.1034,0.3161,0.8,6.2e-05
22,0.1011,0.3121,0.7923,5.8e-05
23,0.0971,0.3144,0.7906,5.4e-05
24,0.0918,0.3162,0.7861,5.1e-05
25,0.0868,0.3189,0.7849,4.7e-05
26,0.0832,0.3185,0.7744,4.3e-05
