epoch,train_loss,val_loss,val_bal_acc,lr
1,0.2965,0.3677,0.1224,7.9e-05
2,0.2727,0.3572,0.1413,7.9e-05
3,0.252,0.3354,0.1858,7.9e-05
4,0.2373,0.3176,0.2384,7.8e-05
5,0.2025,0.2722,0.2669,7.7e-05
6,0.147,0.2293,0.3841,7.6e-05
7,0.1229,0.191,0.5096,7.5e-05
8,0.1073,0.1608,0.578,7.3e-05
9,0.095,0.1416,0.6177,7.2e-05
10,0.0869,0.1267,0.6407,7e-05
11,0.086,0.1207,0.6539,6.8e-05
12,0.0774,0.1129,0.6691,6.6e-05
13,0.0733,0.121,0.6468,6.4e-05
14,0.0752,0.113,0.6756,6.2e-05
15,0.0684,0.1278,0.6659,6e-05
16,0.0666,0.1214,0.6848,5.7e-05
17,0.062,0.1123,0.7098,5.5e-05
18,0.0646,0.1156,0.704,5.2e-05
19,0.0561,0.1282,0.698,5e-05
20,0.0567,0.1295,0.689,4.7e-05
21,0.0537,0.1271,0.6807,4.4e-05
22,0.0548,0.1161,0.705,4.2e-05
23,0.0491,0.1131,0.6954,3.9e-05
24,0.051,0.1128,0.6883,3.6e-05
25,0.0465,0.1119,0.6968,3.3e-05
26,0.0424,0.0987,0.7193,3.1e-05
27,0.0434,0.101,0.7196,2.8e-05
28,0.0412,0.0969,0.7265,2.6e-05
29,0.0428,0.1022,0.7159,2.3e-05
30,0.0434,0.0986,0.7186,2.1e-05
31,0.0411,0.0965,0.7371,1.8e-05
32,0.0414,0.1002,0.7239,1.6e-05
33,0.041,0.1076,0.721,1.4e-05
34,0.0409,0.1028,0.7381,1.2e-05
35,0.0383,0.1003,0.7389,1e-05
36,0.038,0.1024,0.7364,8e-06
37,0.0389,0.1007,0.7393,7e-06
38,0.0427,0.1068,0.7324,6e-06
39,0.038,0.0974,0.7289,4e-06
40,0.0391,0.0957,0.7416,3e-06
41,0.0388,0.1029,0.7401,3e-06
42,0.0388,0.102,0.7367,2e-06
43,0.0393,0.0982,0.7384,1e-06
44,0.0368,0.0946,0.7376,1e-06
45,0.0378,0.0982,0.7408,1e-06
