epoch,train_loss,val_loss,val_bal_acc,lr
1,0.4036,0.4684,0.1349,7.9e-05
2,0.3736,0.4564,0.1475,7.9e-05
3,0.3474,0.4337,0.1751,7.9e-05
4,0.3303,0.4143,0.2106,7.8e-05
5,0.2874,0.3678,0.2715,7.7e-05
6,0.2178,0.3185,0.348,7.6e-05
7,0.1879,0.2734,0.4843,7.5e-05
8,0.1659,0.235,0.5808,7.3e-05
9,0.151,0.2084,0.6189,7.2e-05
10,0.1398,0.186,0.6482,7e-05
11,0.1378,0.1746,0.6766,6.8e-05
12,0.1259,0.1635,0.6779,6.6e-05
13,0.1212,0.1703,0.6852,6.4e-05
14,0.1219,0.1612,0.6974,6.2e-05
15,0.1136,0.1727,0.7019,6e-05
16,0.1103,0.1593,0.7136,5.7e-05
17,0.1056,0.1524,0.7252,5.5e-05
18,0.1075,0.155,0.7248,5.2e-05
19,0.0973,0.1691,0.7292,5e-05
20,0.098,0.1675,0.7107,4.7e-05
21,0.0942,0.162,0.7052,4.4e-05
22,0.0963,0.1555,0.7127,4.2e-05
23,0.0892,0.1502,0.7078,3.9e-05
24,0.0892,0.149,0.7267,3.6e-05
25,0.0852,0.1508,0.7242,3.3e-05
26,0.0793,0.135,0.7304,3.1e-05
27,0.0786,0.1337,0.7396,2.8e-05
28,0.0775,0.1296,0.7366,2.6e-05
29,0.079,0.1349,0.7332,2.3e-05
30,0.0794,0.1304,0.7408,2.1e-05
31,0.0769,0.1311,0.7419,1.8e-05
32,0.0757,0.1308,0.7525,1.6e-05
33,0.0764,0.1396,0.7338,1.4e-05
34,0.0755,0.1355,0.7568,1.2e-05
35,0.0725,0.1316,0.7342,1e-05
36,0.0731,0.1345,0.7452,8e-06
37,0.0743,0.133,0.7451,7e-06
38,0.0779,0.1402,0.7355,6e-06
39,0.0733,0.1299,0.7424,4e-06
40,0.0729,0.1268,0.7342,3e-06
41,0.0722,0.1352,0.75,3e-06
42,0.0727,0.1319,0.7587,2e-06
43,0.0741,0.1309,0.7484,1e-06
44,0.0699,0.1279,0.7406,1e-06
45,0.0723,0.1326,0.7468,1e-06
