epoch,train_loss,val_loss,val_bal_acc,lr
1,0.3289,0.3449,0.2129,0.0001
2,0.2993,0.3259,0.2745,0.0001
3,0.2757,0.3053,0.3229,9.9e-05
4,0.2594,0.3055,0.3252,9.8e-05
5,0.2175,0.2178,0.5815,9.7e-05
6,0.1545,0.1838,0.6389,9.6e-05
7,0.1331,0.1703,0.6953,9.4e-05
8,0.1166,0.138,0.6837,9.2e-05
9,0.1051,0.1412,0.6812,9.1e-05
10,0.0969,0.1291,0.7151,8.8e-05
11,0.0967,0.1228,0.7077,8.6e-05
12,0.0854,0.1153,0.7178,8.4e-05
13,0.0807,0.119,0.7472,8.1e-05
14,0.0844,0.1253,0.7139,7.8e-05
15,0.0757,0.1296,0.7102,7.5e-05
16,0.0755,0.1184,0.721,7.2e-05
17,0.0701,0.1189,0.7192,6.9e-05
18,0.0716,0.1247,0.7336,6.6e-05
19,0.0631,0.1152,0.724,6.2e-05
20,0.0638,0.1155,0.7301,5.9e-05
21,0.0592,0.1164,0.7369,5.6e-05
22,0.0614,0.1102,0.7502,5.2e-05
23,0.0575,0.1282,0.7235,4.9e-05
24,0.0578,0.1091,0.7548,4.5e-05
25,0.0531,0.1145,0.7471,4.2e-05
26,0.0483,0.0998,0.7621,3.9e-05
27,0.0493,0.1078,0.7491,3.5e-05
28,0.0481,0.1156,0.7505,3.2e-05
29,0.0474,0.1117,0.7526,2.9e-05
30,0.048,0.1074,0.7626,2.6e-05
31,0.046,0.1066,0.7613,2.3e-05
32,0.0458,0.1203,0.7483,2e-05
33,0.0457,0.122,0.7544,1.7e-05
34,0.0449,0.117,0.7494,1.5e-05
35,0.044,0.116,0.7565,1.3e-05
36,0.0434,0.1222,0.7438,1e-05
37,0.044,0.123,0.7432,9e-06
38,0.0468,0.1251,0.7415,7e-06
39,0.0439,0.1111,0.7554,5e-06
40,0.0431,0.1128,0.7521,4e-06
41,0.0441,0.1181,0.7546,3e-06
42,0.0427,0.1089,0.7657,2e-06
43,0.0433,0.1108,0.7567,1e-06
44,0.0418,0.1085,0.7607,1e-06
45,0.0438,0.1151,0.7453,1e-06
