epoch,train_loss,val_loss,val_bal_acc,lr
1,0.1739,0.1567,0.6565,0.0001
2,0.1225,0.114,0.7332,0.0001
3,0.0972,0.1014,0.7262,9.9e-05
4,0.0864,0.1162,0.7237,9.8e-05
5,0.0755,0.1364,0.6953,9.7e-05
6,0.07,0.1455,0.7272,9.6e-05
7,0.0643,0.1421,0.7042,9.4e-05
8,0.058,0.0947,0.7627,9.2e-05
9,0.0523,0.0889,0.7538,9.1e-05
10,0.0505,0.1272,0.7621,8.8e-05
11,0.0491,0.1068,0.7305,8.6e-05
12,0.0452,0.1255,0.7612,8.4e-05
13,0.0374,0.1111,0.7715,8.1e-05
14,0.0349,0.1353,0.7281,7.8e-05
15,0.032,0.1238,0.7428,7.5e-05
16,0.0356,0.1073,0.7711,7.2e-05
17,0.0281,0.1371,0.7477,6.9e-05
18,0.0272,0.1321,0.7532,6.6e-05
19,0.0231,0.1258,0.7924,6.2e-05
20,0.0249,0.113,0.7673,5.9e-05
21,0.0217,0.1111,0.7789,5.6e-05
22,0.0224,0.0895,0.8097,5.2e-05
23,0.0189,0.1462,0.7582,4.9e-05
24,0.0161,0.126,0.7926,4.5e-05
25,0.0154,0.1198,0.7934,4.2e-05
26,0.0151,0.1242,0.7939,3.9e-05
27,0.0145,0.1201,0.7631,3.5e-05
28,0.0121,0.1415,0.7867,3.2e-05
29,0.0109,0.1346,0.77,2.9e-05
30,0.0118,0.1154,0.7823,2.6e-05
31,0.01,0.1244,0.7812,2.3e-05
32,0.0096,0.135,0.7976,2e-05
33,0.0084,0.1369,0.7904,1.7e-05
34,0.0109,0.134,0.7856,1.5e-05
