epoch,train_loss,val_loss,val_bal_acc,lr
1,0.3289,0.3449,0.2129,0.0001
2,0.2537,0.2294,0.512,0.0001
3,0.1722,0.1968,0.6176,9.9e-05
4,0.1404,0.1681,0.6664,9.8e-05
5,0.1207,0.1557,0.6805,9.7e-05
6,0.1065,0.1419,0.6827,9.6e-05
7,0.103,0.1533,0.6997,9.4e-05
8,0.0943,0.1245,0.7033,9.2e-05
9,0.0886,0.1361,0.6977,9.1e-05
10,0.0832,0.1257,0.7152,8.8e-05
11,0.0845,0.1173,0.7115,8.6e-05
12,0.0752,0.1093,0.7425,8.4e-05
13,0.0711,0.1153,0.7519,8.1e-05
14,0.0766,0.1173,0.7203,7.8e-05
15,0.0692,0.1259,0.7244,7.5e-05
16,0.0662,0.1043,0.7521,7.2e-05
17,0.0635,0.1121,0.7367,6.9e-05
18,0.0659,0.1148,0.7464,6.6e-05
19,0.0562,0.1083,0.7551,6.2e-05
20,0.0584,0.1077,0.7495,5.9e-05
21,0.0536,0.1078,0.7542,5.6e-05
22,0.0553,0.1035,0.7622,5.2e-05
23,0.0519,0.1159,0.7464,4.9e-05
24,0.0516,0.1025,0.767,4.5e-05
25,0.0485,0.1078,0.7515,4.2e-05
26,0.0439,0.0941,0.7629,3.9e-05
27,0.0442,0.1021,0.7687,3.5e-05
28,0.0431,0.1108,0.7552,3.2e-05
29,0.043,0.1104,0.7547,2.9e-05
30,0.0432,0.1052,0.7626,2.6e-05
31,0.042,0.1013,0.7689,2.3e-05
32,0.0409,0.1169,0.7446,2e-05
33,0.0417,0.1172,0.7433,1.7e-05
34,0.0421,0.1137,0.7444,1.5e-05
35,0.0401,0.1118,0.7473,1.3e-05
36,0.0383,0.1156,0.7391,1e-05
37,0.0408,0.1183,0.7415,9e-06
38,0.0432,0.1199,0.7397,7e-06
39,0.0395,0.1067,0.7396,5e-06
40,0.0398,0.1096,0.7508,4e-06
41,0.0406,0.1151,0.7424,3e-06
