epoch,train_loss,val_loss,val_bal_acc,lr
1,0.71,0.6512,0.6831,0.0001
2,0.4321,0.5942,0.7171,9.8e-05
3,0.3555,0.4372,0.7217,9.7e-05
4,0.3068,0.4638,0.747,9.4e-05
5,0.2802,0.4786,0.7529,9.1e-05
6,0.2454,0.5214,0.7536,8.7e-05
7,0.2238,0.4439,0.7179,8.2e-05
8,0.1972,0.4124,0.7365,7.7e-05
9,0.1844,0.448,0.794,7.2e-05
10,0.1728,0.4356,0.7829,6.6e-05
11,0.1582,0.481,0.7558,6e-05
12,0.1366,0.4424,0.7733,5.4e-05
13,0.1301,0.495,0.7645,4.7e-05
14,0.1206,0.4283,0.7851,4.1e-05
15,0.1058,0.449,0.7758,3.5e-05
16,0.1035,0.3864,0.7542,2.9e-05
17,0.0898,0.4611,0.7734,2.4e-05
18,0.0807,0.4716,0.7642,1.9e-05
19,0.0764,0.42,0.7994,1.4e-05
20,0.0755,0.413,0.8007,1e-05
21,0.0622,0.4297,0.7925,7e-06
22,0.0658,0.407,0.7853,4e-06
23,0.0594,0.4107,0.7976,3e-06
24,0.0618,0.4024,0.7952,1e-06
25,0.0584,0.4061,0.7957,1e-06
