epoch,train_loss,val_loss,val_bal_acc,lr
1,1.1833,1.1344,0.2013,4e-05
2,0.5519,0.9091,0.3211,7e-05
3,0.3897,0.6576,0.4882,0.0001
4,0.3286,0.4627,0.5858,0.0001
5,0.2764,0.3538,0.6798,9.9e-05
6,0.2396,0.3017,0.7473,9.9e-05
7,0.2159,0.2843,0.7696,9.8e-05
8,0.1865,0.2709,0.7659,9.7e-05
9,0.1723,0.2663,0.7794,9.5e-05
10,0.1616,0.2672,0.7735,9.3e-05
11,0.1505,0.2709,0.7787,9.1e-05
12,0.1356,0.2709,0.7781,8.9e-05
13,0.1293,0.2699,0.7897,8.7e-05
14,0.1185,0.2715,0.7958,8.4e-05
15,0.1113,0.27,0.7894,8.1e-05
16,0.1092,0.2694,0.7993,7.8e-05
17,0.0978,0.2656,0.7988,7.5e-05
18,0.0873,0.2713,0.7994,7.2e-05
19,0.0831,0.2732,0.8063,6.9e-05
20,0.079,0.2735,0.8052,6.5e-05
21,0.0692,0.2748,0.806,6.2e-05
22,0.0703,0.2742,0.8094,5.8e-05
23,0.0656,0.2741,0.8085,5.4e-05
24,0.0646,0.2754,0.812,5.1e-05
25,0.055,0.2778,0.8075,4.7e-05
26,0.0536,0.2777,0.7827,4.3e-05
27,0.045,0.2823,0.7842,3.9e-05
28,0.0442,0.2832,0.7839,3.6e-05
29,0.0444,0.2857,0.7875,3.2e-05
30,0.0406,0.2874,0.7903,2.9e-05
31,0.0326,0.2902,0.7827,2.6e-05
32,0.0305,0.2936,0.7741,2.3e-05
33,0.0294,0.2978,0.7611,2e-05
34,0.0269,0.3021,0.7611,1.7e-05
35,0.0276,0.3031,0.7831,1.4e-05
36,0.0259,0.306,0.7687,1.2e-05
37,0.0255,0.3083,0.7691,1e-05
