epoch,train_loss,val_loss,val_bal_acc,lr
1,1.8638,1.2236,0.1923,4e-05
2,1.6833,1.2272,0.1888,7e-05
3,1.5871,1.2088,0.1943,0.0001
4,1.1421,1.099,0.2562,0.0001
5,0.7627,0.9206,0.3541,0.0001
6,0.6046,0.7648,0.5142,9.9e-05
7,0.5426,0.6437,0.5794,9.8e-05
8,0.4599,0.5552,0.6173,9.7e-05
9,0.4359,0.5042,0.6309,9.6e-05
10,0.4025,0.4699,0.6643,9.5e-05
11,0.3768,0.4467,0.6611,9.3e-05
12,0.3499,0.431,0.6843,9.1e-05
13,0.3464,0.4189,0.7136,8.9e-05
14,0.3219,0.409,0.7243,8.7e-05
15,0.3038,0.4006,0.728,8.5e-05
16,0.3004,0.3915,0.7394,8.2e-05
17,0.2971,0.3806,0.7432,8e-05
18,0.2773,0.373,0.7387,7.7e-05
19,0.2652,0.3673,0.7465,7.4e-05
20,0.26,0.3617,0.7493,7.1e-05
21,0.2473,0.3556,0.7526,6.8e-05
22,0.2425,0.3508,0.7566,6.5e-05
23,0.2445,0.3454,0.762,6.2e-05
24,0.2365,0.3436,0.7584,5.9e-05
25,0.2339,0.3401,0.7607,5.5e-05
26,0.233,0.3339,0.7634,5.2e-05
27,0.2166,0.3333,0.7706,4.9e-05
28,0.2182,0.3318,0.7708,4.6e-05
29,0.2148,0.3281,0.7678,4.2e-05
30,0.2126,0.3266,0.761,3.9e-05
31,0.2004,0.3249,0.7604,3.6e-05
32,0.2037,0.3248,0.7629,3.3e-05
33,0.2019,0.3231,0.7653,3e-05
34,0.1913,0.3215,0.7642,2.7e-05
35,0.1934,0.3216,0.7642,2.4e-05
36,0.1929,0.3226,0.7569,2.1e-05
37,0.1864,0.3228,0.7543,1.9e-05
38,0.1856,0.3222,0.7526,1.6e-05
39,0.1818,0.3201,0.7521,1.4e-05
40,0.1789,0.3198,0.7547,1.2e-05
41,0.1834,0.319,0.7623,1e-05
42,0.1767,0.3198,0.7627,8e-06
43,0.1858,0.3191,0.7553,6e-06
44,0.1796,0.3186,0.7551,5e-06
