epoch,train_loss,val_loss,val_bal_acc,lr
1,1.4655,1.1763,0.186,5.5e-05
2,1.3194,1.097,0.1861,0.0001
3,1.2228,0.9996,0.1822,0.0001
4,0.9649,0.8451,0.2273,9.9e-05
5,0.7814,0.6901,0.2795,9.9e-05
6,0.7195,0.5692,0.3607,9.8e-05
7,0.6932,0.487,0.4718,9.7e-05
8,0.6643,0.4301,0.5877,9.5e-05
9,0.6372,0.3929,0.6142,9.4e-05
10,0.6122,0.366,0.6563,9.2e-05
11,0.6144,0.347,0.6661,9e-05
12,0.581,0.3337,0.673,8.7e-05
13,0.5693,0.3225,0.7074,8.5e-05
14,0.5609,0.3119,0.7107,8.2e-05
15,0.5321,0.3026,0.724,7.9e-05
16,0.5357,0.2954,0.7227,7.6e-05
17,0.5596,0.2898,0.7253,7.3e-05
18,0.5538,0.2863,0.7249,7e-05
19,0.5434,0.2824,0.7402,6.6e-05
20,0.5513,0.2804,0.7439,6.3e-05
21,0.4906,0.2763,0.7466,5.9e-05
22,0.4947,0.2727,0.7403,5.6e-05
23,0.5119,0.2693,0.7478,5.2e-05
24,0.5109,0.2664,0.7515,4.9e-05
25,0.508,0.2629,0.7504,4.5e-05
26,0.4914,0.2603,0.7476,4.2e-05
27,0.5017,0.2593,0.745,3.8e-05
28,0.4766,0.2586,0.7467,3.5e-05
29,0.4848,0.2571,0.751,3.1e-05
30,0.4812,0.2556,0.7499,2.8e-05
31,0.5108,0.2549,0.754,2.5e-05
32,0.5046,0.254,0.754,2.2e-05
33,0.4899,0.2534,0.7467,1.9e-05
34,0.483,0.2524,0.7424,1.6e-05
35,0.4904,0.2513,0.7441,1.4e-05
36,0.4829,0.2513,0.7496,1.1e-05
37,0.4634,0.2508,0.7496,9e-06
38,0.4788,0.2501,0.7496,7e-06
39,0.4567,0.2489,0.7483,6e-06
40,0.4731,0.2481,0.7483,4e-06
41,0.4718,0.2475,0.7485,3e-06
42,0.4817,0.2477,0.7485,2e-06
