epoch,train_loss,val_loss,val_bal_acc,lr
1,1.0768,1.073,0.2011,4e-05
2,0.5699,0.8087,0.2622,7e-05
3,0.4436,0.5716,0.3305,0.0001
4,0.3837,0.4176,0.4945,0.0001
5,0.3245,0.3206,0.6568,9.9e-05
6,0.2888,0.2718,0.7208,9.9e-05
7,0.2624,0.2447,0.7496,9.8e-05
8,0.2379,0.2279,0.7907,9.7e-05
9,0.2145,0.2188,0.8013,9.5e-05
10,0.1948,0.2168,0.7879,9.3e-05
11,0.1859,0.2173,0.7991,9.1e-05
12,0.1705,0.2169,0.7892,8.9e-05
13,0.1631,0.2159,0.7904,8.7e-05
14,0.1508,0.2145,0.7973,8.4e-05
15,0.1337,0.2144,0.7964,8.1e-05
16,0.1216,0.2125,0.8071,7.8e-05
17,0.1191,0.2143,0.7959,7.5e-05
18,0.108,0.2189,0.7927,7.2e-05
19,0.1051,0.222,0.79,6.9e-05
20,0.0956,0.2255,0.7941,6.5e-05
21,0.0888,0.23,0.793,6.2e-05
22,0.0816,0.2358,0.7898,5.8e-05
23,0.0778,0.2394,0.7911,5.4e-05
24,0.0697,0.2453,0.7888,5.1e-05
25,0.0704,0.2504,0.7863,4.7e-05
26,0.0651,0.2568,0.7858,4.3e-05
27,0.054,0.2616,0.7808,3.9e-05
28,0.0535,0.2643,0.7754,3.6e-05
