epoch,train_loss,val_loss,val_bal_acc,lr
1,1.7419,1.362,0.1887,4e-05
2,1.6117,1.3224,0.1919,7e-05
3,1.4643,1.2503,0.1999,0.0001
4,1.0453,1.064,0.2756,0.0001
5,0.7645,0.8486,0.3614,0.0001
6,0.7003,0.6857,0.4514,9.9e-05
7,0.6227,0.5763,0.5902,9.8e-05
8,0.6011,0.5039,0.6184,9.7e-05
9,0.5747,0.4629,0.6449,9.6e-05
10,0.5782,0.434,0.6613,9.5e-05
11,0.4986,0.4106,0.687,9.3e-05
12,0.5192,0.3939,0.6945,9.1e-05
13,0.4988,0.3813,0.7111,8.9e-05
14,0.448,0.3737,0.7144,8.7e-05
15,0.4739,0.3646,0.7202,8.5e-05
16,0.4608,0.3537,0.7321,8.2e-05
17,0.4466,0.3434,0.7297,8e-05
18,0.4168,0.3366,0.7416,7.7e-05
19,0.406,0.3335,0.7518,7.4e-05
20,0.3989,0.3305,0.7489,7.1e-05
21,0.4105,0.327,0.7484,6.8e-05
22,0.4325,0.3219,0.7561,6.5e-05
23,0.413,0.319,0.7632,6.2e-05
24,0.4652,0.3182,0.7626,5.9e-05
25,0.3535,0.3155,0.763,5.5e-05
26,0.3879,0.3109,0.7601,5.2e-05
27,0.3481,0.3074,0.7637,4.9e-05
28,0.3818,0.3046,0.7646,4.6e-05
29,0.3683,0.3018,0.7617,4.2e-05
30,0.3569,0.2991,0.7596,3.9e-05
31,0.3874,0.299,0.7611,3.6e-05
32,0.3886,0.2983,0.7611,3.3e-05
33,0.3771,0.2958,0.7615,3e-05
34,0.354,0.2954,0.7651,2.7e-05
35,0.3382,0.2944,0.7642,2.4e-05
36,0.3363,0.2941,0.7605,2.1e-05
37,0.4138,0.2937,0.7624,1.9e-05
38,0.3712,0.2939,0.7637,1.6e-05
39,0.3515,0.2933,0.7624,1.4e-05
40,0.3841,0.2939,0.7639,1.2e-05
41,0.3514,0.2924,0.7656,1e-05
42,0.3664,0.2923,0.7652,8e-06
43,0.3523,0.2916,0.7627,6e-06
44,0.3238,0.2911,0.764,5e-06
45,0.372,0.2903,0.7653,4e-06
46,0.3227,0.2912,0.7649,3e-06
47,0.3573,0.2916,0.7707,2e-06
48,0.3817,0.2913,0.7707,1e-06
49,0.3288,0.2917,0.7709,1e-06
50,0.3217,0.2925,0.7709,1e-06
