epoch,train_loss,val_loss,val_bal_acc,lr
1,1.758,1.2238,0.1948,5.5e-05
2,1.5439,1.2141,0.1911,0.0001
3,1.3543,1.1644,0.2093,0.0001
4,0.996,1.019,0.2862,9.9e-05
5,0.7825,0.849,0.4012,9.9e-05
6,0.7234,0.7127,0.5409,9.8e-05
7,0.6749,0.6145,0.6073,9.7e-05
8,0.6209,0.5432,0.6442,9.5e-05
9,0.5976,0.4975,0.6552,9.4e-05
10,0.6044,0.4659,0.6782,9.2e-05
11,0.5743,0.4426,0.7036,9e-05
12,0.5974,0.4258,0.718,8.7e-05
13,0.5387,0.413,0.7242,8.5e-05
14,0.52,0.403,0.7371,8.2e-05
15,0.5135,0.3945,0.7391,7.9e-05
16,0.5028,0.3861,0.7509,7.6e-05
17,0.4892,0.3769,0.7524,7.3e-05
18,0.487,0.373,0.7654,7e-05
19,0.4696,0.3688,0.7679,6.6e-05
20,0.495,0.3647,0.7751,6.3e-05
21,0.4827,0.3606,0.7768,5.9e-05
22,0.5003,0.3567,0.7706,5.6e-05
23,0.4931,0.3533,0.7693,5.2e-05
24,0.4872,0.3519,0.778,4.9e-05
25,0.4297,0.347,0.78,4.5e-05
26,0.4619,0.3407,0.7707,4.2e-05
27,0.4553,0.3398,0.7706,3.8e-05
28,0.4826,0.3384,0.7637,3.5e-05
29,0.4402,0.3348,0.7667,3.1e-05
30,0.4563,0.3327,0.766,2.8e-05
31,0.4572,0.3317,0.7658,2.5e-05
32,0.4559,0.3319,0.7688,2.2e-05
33,0.4529,0.33,0.7692,1.9e-05
34,0.4238,0.3288,0.7692,1.6e-05
35,0.4521,0.3284,0.7694,1.4e-05
