epoch,train_loss,val_loss,val_bal_acc,lr
1,1.7732,1.3804,0.1948,4e-05
2,1.6241,1.3665,0.1917,7e-05
3,1.4817,1.3187,0.2172,0.0001
4,1.0485,1.1506,0.2809,0.0001
5,0.7632,0.9365,0.3784,0.0001
6,0.6746,0.7658,0.5411,9.9e-05
7,0.6234,0.6473,0.5956,9.8e-05
8,0.5696,0.5631,0.6268,9.7e-05
9,0.5445,0.5138,0.6489,9.6e-05
10,0.568,0.4791,0.6748,9.5e-05
11,0.5016,0.4553,0.7006,9.3e-05
12,0.5027,0.4374,0.7034,9.1e-05
13,0.5013,0.4229,0.7121,8.9e-05
14,0.4334,0.4143,0.7408,8.7e-05
15,0.4544,0.4053,0.7391,8.5e-05
16,0.4431,0.3964,0.7386,8.2e-05
17,0.4309,0.3851,0.745,8e-05
18,0.405,0.3808,0.748,7.7e-05
19,0.3948,0.3754,0.7501,7.4e-05
20,0.3879,0.3712,0.7533,7.1e-05
21,0.3945,0.3674,0.7572,6.8e-05
22,0.4112,0.3635,0.76,6.5e-05
23,0.3998,0.3598,0.7655,6.2e-05
24,0.4508,0.3601,0.7622,5.9e-05
25,0.3487,0.3585,0.7629,5.5e-05
26,0.3806,0.3529,0.7592,5.2e-05
27,0.3415,0.3508,0.7607,4.9e-05
28,0.3769,0.3472,0.7641,4.6e-05
29,0.3593,0.3428,0.7647,4.2e-05
30,0.3504,0.3394,0.7668,3.9e-05
31,0.3715,0.3381,0.7645,3.6e-05
32,0.3709,0.3369,0.7673,3.3e-05
33,0.3632,0.3341,0.7714,3e-05
34,0.345,0.3315,0.7652,2.7e-05
35,0.3292,0.3306,0.7641,2.4e-05
36,0.3261,0.3309,0.7686,2.1e-05
37,0.4031,0.3291,0.7716,1.9e-05
38,0.3528,0.3275,0.7716,1.6e-05
39,0.3396,0.3249,0.7725,1.4e-05
40,0.367,0.3253,0.7716,1.2e-05
41,0.3348,0.3244,0.7704,1e-05
42,0.3423,0.3255,0.7701,8e-06
43,0.3411,0.3245,0.7654,6e-06
44,0.3123,0.3237,0.7656,5e-06
45,0.3491,0.3234,0.7658,4e-06
46,0.3171,0.3228,0.7658,3e-06
47,0.3498,0.3223,0.7669,2e-06
48,0.3765,0.322,0.7642,1e-06
49,0.3149,0.3214,0.7682,1e-06
50,0.313,0.3201,0.7664,1e-06
