epoch,train_loss,val_loss,val_bal_acc,lr
1,1.4188,1.3383,0.154,4e-05
2,0.7399,1.2655,0.259,7e-05
3,0.4059,1.1087,0.4314,0.0001
4,0.328,0.8725,0.5822,0.0001
5,0.2729,0.6369,0.6757,9.9e-05
6,0.2255,0.4785,0.7511,9.9e-05
7,0.1941,0.389,0.7566,9.8e-05
8,0.1692,0.3385,0.7785,9.7e-05
9,0.1551,0.3122,0.7903,9.5e-05
10,0.1373,0.3017,0.7922,9.3e-05
11,0.1241,0.2929,0.7945,9.1e-05
12,0.1111,0.2876,0.8079,8.9e-05
13,0.1058,0.2846,0.8182,8.7e-05
14,0.0908,0.2839,0.801,8.4e-05
15,0.0873,0.2837,0.7833,8.1e-05
16,0.078,0.2836,0.7925,7.8e-05
17,0.0741,0.2852,0.7904,7.5e-05
18,0.0676,0.2858,0.7946,7.2e-05
19,0.0614,0.2838,0.7935,6.9e-05
20,0.0578,0.2824,0.7969,6.5e-05
21,0.0546,0.2832,0.7975,6.2e-05
22,0.0489,0.2831,0.7905,5.8e-05
23,0.0498,0.2799,0.7707,5.4e-05
24,0.0403,0.2801,0.7641,5.1e-05
25,0.0402,0.2793,0.7653,4.7e-05
26,0.0407,0.282,0.7662,4.3e-05
