epoch,train_loss,val_loss,val_accuracy,val_bal_acc,val_macro_f1,val_precision,val_recall,lr
1,1.3912,1.8545,0.1422,0.1671,0.0966,0.1838,0.1671,4e-05
2,0.7304,1.7088,0.3593,0.2675,0.2027,0.249,0.2675,7e-05
3,0.4335,1.4136,0.6168,0.3989,0.3425,0.4064,0.3989,0.0001
4,0.3414,1.0318,0.7216,0.501,0.4681,0.5672,0.501,0.0001
5,0.2848,0.7204,0.7675,0.5598,0.549,0.6263,0.5598,9.9e-05
6,0.2417,0.5388,0.7964,0.6191,0.6114,0.6614,0.6191,9.9e-05
7,0.2065,0.439,0.8104,0.6644,0.6498,0.6792,0.6644,9.8e-05
8,0.1839,0.3822,0.8249,0.6933,0.6855,0.7053,0.6933,9.7e-05
9,0.1595,0.3453,0.8268,0.704,0.6971,0.712,0.704,9.5e-05
10,0.1519,0.3214,0.8328,0.7099,0.7002,0.7069,0.7099,9.3e-05
11,0.1346,0.3091,0.8368,0.7215,0.7139,0.719,0.7215,9.1e-05
12,0.1236,0.3024,0.8413,0.7397,0.7362,0.7443,0.7397,8.9e-05
13,0.1153,0.2967,0.8443,0.7348,0.7403,0.7574,0.7348,8.7e-05
14,0.107,0.2954,0.8403,0.7265,0.7316,0.7488,0.7265,8.4e-05
15,0.0935,0.2938,0.8413,0.7332,0.7425,0.7646,0.7332,8.1e-05
16,0.0909,0.291,0.8428,0.7298,0.741,0.7627,0.7298,7.8e-05
17,0.0893,0.2867,0.8438,0.7352,0.7497,0.775,0.7352,7.5e-05
18,0.0752,0.2865,0.8433,0.7327,0.7486,0.777,0.7327,7.2e-05
19,0.0677,0.2903,0.8473,0.7365,0.7566,0.7908,0.7365,6.9e-05
20,0.0669,0.294,0.8428,0.7426,0.7625,0.796,0.7426,6.5e-05
21,0.0582,0.2981,0.8413,0.7348,0.7538,0.7891,0.7348,6.2e-05
22,0.0568,0.2986,0.8423,0.7319,0.7514,0.7855,0.7319,5.8e-05
23,0.0542,0.3001,0.8443,0.7114,0.7385,0.7869,0.7114,5.4e-05
24,0.0452,0.3009,0.8448,0.7089,0.7357,0.7793,0.7089,5.1e-05
25,0.0469,0.3013,0.8503,0.7148,0.7413,0.7864,0.7148,4.7e-05
26,0.0491,0.3004,0.8533,0.7206,0.7481,0.7929,0.7206,4.3e-05
27,0.0413,0.3003,0.8563,0.7292,0.7566,0.7993,0.7292,3.9e-05
28,0.0366,0.3025,0.8543,0.712,0.7448,0.803,0.712,3.6e-05
29,0.0362,0.3047,0.8543,0.7121,0.7456,0.8025,0.7121,3.2e-05
30,0.0303,0.3082,0.8528,0.7156,0.7495,0.8039,0.7156,2.9e-05
31,0.0277,0.3112,0.8528,0.7223,0.7531,0.8022,0.7223,2.6e-05
32,0.0274,0.3129,0.8548,0.7209,0.7542,0.8126,0.7209,2.3e-05
33,0.0286,0.3121,0.8553,0.7081,0.744,0.804,0.7081,2e-05
34,0.0242,0.3132,0.8558,0.7108,0.7443,0.8002,0.7108,1.7e-05
