epoch,train_loss,val_loss,val_bal_acc,lr
1,1.4293,1.3108,0.1345,4e-05
2,0.7685,1.258,0.1699,7e-05
3,0.4291,1.1397,0.3003,0.0001
4,0.3329,0.9477,0.4561,0.0001
5,0.2645,0.7313,0.5782,9.9e-05
6,0.2364,0.5593,0.6227,9.9e-05
7,0.1948,0.4477,0.6795,9.8e-05
8,0.1753,0.3807,0.6971,9.7e-05
9,0.1529,0.3466,0.7047,9.5e-05
10,0.1325,0.3272,0.7163,9.3e-05
11,0.1286,0.3136,0.7392,9.1e-05
12,0.114,0.3014,0.7409,8.9e-05
13,0.1057,0.292,0.7324,8.7e-05
14,0.0979,0.2856,0.7254,8.4e-05
15,0.0857,0.2827,0.7331,8.1e-05
16,0.0774,0.2815,0.725,7.8e-05
17,0.0705,0.2815,0.7283,7.5e-05
18,0.0666,0.2845,0.7309,7.2e-05
19,0.063,0.2841,0.7272,6.9e-05
20,0.0572,0.2865,0.728,6.5e-05
21,0.0538,0.2885,0.7378,6.2e-05
22,0.0528,0.2875,0.737,5.8e-05
23,0.045,0.2887,0.7336,5.4e-05
24,0.0422,0.2866,0.7285,5.1e-05
25,0.0371,0.2852,0.7358,4.7e-05
26,0.0409,0.2854,0.7356,4.3e-05
27,0.036,0.2865,0.7344,3.9e-05
28,0.0313,0.2895,0.7347,3.6e-05
29,0.0305,0.29,0.7362,3.2e-05
30,0.0291,0.289,0.7377,2.9e-05
31,0.0308,0.2893,0.7395,2.6e-05
32,0.0261,0.2915,0.7376,2.3e-05
33,0.0265,0.2934,0.7273,2e-05
34,0.023,0.2946,0.7243,1.7e-05
35,0.0228,0.2967,0.7207,1.4e-05
36,0.0217,0.2984,0.7279,1.2e-05
37,0.0208,0.3014,0.7266,1e-05
38,0.0192,0.3052,0.7246,8e-06
39,0.0177,0.3085,0.7221,6e-06
40,0.0186,0.3109,0.7222,4e-06
41,0.0174,0.3128,0.7222,3e-06
42,0.0171,0.3145,0.7231,2e-06
43,0.0179,0.3159,0.7203,2e-06
44,0.0174,0.3171,0.7177,1e-06
