epoch,train_loss,val_loss,val_bal_acc,lr
1,0.8898,1.2937,0.143,4e-05
2,0.5495,1.1736,0.1599,7e-05
3,0.408,0.9991,0.189,0.0001
4,0.3387,0.7897,0.2556,0.0001
5,0.2952,0.5802,0.3967,9.9e-05
6,0.2661,0.4448,0.5343,9.9e-05
7,0.2375,0.3648,0.6195,9.8e-05
8,0.2141,0.3137,0.6911,9.7e-05
9,0.196,0.2841,0.7104,9.5e-05
10,0.176,0.2663,0.7232,9.3e-05
11,0.1573,0.2558,0.7382,9.1e-05
12,0.1536,0.251,0.7428,8.9e-05
13,0.1331,0.2468,0.7623,8.7e-05
14,0.1293,0.2448,0.7733,8.4e-05
15,0.1125,0.2442,0.7847,8.1e-05
16,0.102,0.2467,0.7824,7.8e-05
17,0.0908,0.2494,0.7809,7.5e-05
18,0.0897,0.2521,0.7975,7.2e-05
19,0.0802,0.2539,0.7962,6.9e-05
20,0.0742,0.259,0.789,6.5e-05
21,0.0684,0.2645,0.7997,6.2e-05
22,0.0584,0.2674,0.7828,5.8e-05
23,0.0533,0.2696,0.7847,5.4e-05
24,0.0499,0.2716,0.7932,5.1e-05
25,0.0436,0.2719,0.7959,4.7e-05
26,0.0434,0.2738,0.7964,4.3e-05
27,0.0398,0.2743,0.7975,3.9e-05
28,0.0344,0.2753,0.8031,3.6e-05
29,0.0337,0.2776,0.7932,3.2e-05
30,0.0313,0.2801,0.7922,2.9e-05
31,0.0281,0.281,0.7941,2.6e-05
32,0.0239,0.2846,0.7938,2.3e-05
33,0.0235,0.2899,0.793,2e-05
34,0.0226,0.2927,0.793,1.7e-05
35,0.021,0.2948,0.7947,1.4e-05
36,0.0222,0.2974,0.7789,1.2e-05
37,0.0198,0.2983,0.7759,1e-05
38,0.0185,0.2993,0.7776,8e-06
39,0.0188,0.3015,0.7836,6e-06
40,0.0187,0.3039,0.7836,4e-06
41,0.0184,0.3059,0.7824,3e-06
