epoch,train_loss,val_loss,val_bal_acc,lr
1,1.452,1.3374,0.1482,4e-05
2,0.9026,1.2616,0.2384,7e-05
3,0.6513,1.1209,0.4115,0.0001
4,0.5698,0.9332,0.6058,0.0001
5,0.5176,0.7382,0.7369,9.9e-05
6,0.4628,0.6011,0.7791,9.9e-05
7,0.4731,0.5156,0.8005,9.8e-05
8,0.4245,0.4585,0.8109,9.7e-05
9,0.4569,0.4296,0.8012,9.5e-05
10,0.3839,0.4035,0.8131,9.3e-05
11,0.3757,0.3884,0.8217,9.1e-05
12,0.3671,0.3821,0.826,8.9e-05
13,0.3596,0.3772,0.8288,8.7e-05
14,0.3254,0.3695,0.8243,8.4e-05
15,0.3489,0.3642,0.8217,8.1e-05
16,0.3192,0.3592,0.82,7.8e-05
17,0.3327,0.353,0.8182,7.5e-05
18,0.3396,0.3485,0.816,7.2e-05
19,0.3419,0.3472,0.8125,6.9e-05
20,0.3412,0.3459,0.8116,6.5e-05
21,0.3391,0.3441,0.8161,6.2e-05
22,0.2779,0.3411,0.8034,5.8e-05
23,0.3072,0.3378,0.8127,5.4e-05
24,0.2935,0.3357,0.8052,5.1e-05
25,0.3322,0.3343,0.8104,4.7e-05
26,0.2798,0.3295,0.8174,4.3e-05
27,0.3056,0.3276,0.8226,3.9e-05
