epoch,train_loss,val_loss,val_bal_acc
1,1.2297,0.9273,0.6486
2,0.9080,0.9599,0.6882
3,0.7725,0.8957,0.6880
4,0.7301,0.7727,0.7617
5,0.6584,0.7851,0.7087
6,0.5955,0.8813,0.7156
7,0.5583,0.7096,0.7110
8,0.5146,0.7006,0.7337
9,0.4565,0.7027,0.7460
10,0.4230,0.6521,0.7798
11,0.4007,0.6466,0.7561
12,0.3679,0.6169,0.7587
13,0.3119,0.6048,0.7848
14,0.2905,0.6158,0.7714
15,0.2819,0.6083,0.7964
16,0.2478,0.6050,0.7758
17,0.2406,0.6350,0.7705
18,0.2236,0.6180,0.7882
19,0.2179,0.5847,0.7902
20,0.2238,0.6452,0.7843
