image_id,true_class,pred_class,confidence,correct,target,scanpath_length,n_oob_fixations,spatial_std_frac,concentration,raw_path,fixations_path
ISIC_0028941,akiec,akiec,0.4566575884819031,True,pred,10,0,0.3077,0.4391,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/00_ISIC_0028941_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/00_ISIC_0028941_pred_fixations.npy
ISIC_0031421,akiec,akiec,0.8886157274246216,True,pred,10,0,0.2526,0.3931,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/01_ISIC_0031421_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/01_ISIC_0031421_pred_fixations.npy
ISIC_0033000,akiec,akiec,0.980678379535675,True,pred,10,0,0.1971,0.3865,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/02_ISIC_0033000_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/02_ISIC_0033000_pred_fixations.npy
ISIC_0025696,akiec,akiec,0.9970570802688599,True,pred,10,0,0.2315,0.3331,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/03_ISIC_0025696_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/03_ISIC_0025696_pred_fixations.npy
ISIC_0026492,akiec,bcc,0.45205748081207275,False,pred,10,1,0.2287,0.43,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/04_ISIC_0026492_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/04_ISIC_0026492_pred_fixations.npy
ISIC_0026492,akiec,bcc,0.45205748081207275,False,true,10,0,0.2167,0.3933,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/04_ISIC_0026492_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/04_ISIC_0026492_true_fixations.npy
ISIC_0027884,akiec,bcc,0.7201753258705139,False,pred,10,0,0.2105,0.3624,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/05_ISIC_0027884_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/05_ISIC_0027884_pred_fixations.npy
ISIC_0027884,akiec,bcc,0.7201753258705139,False,true,10,2,0.2237,0.3811,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/05_ISIC_0027884_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/05_ISIC_0027884_true_fixations.npy
ISIC_0033866,akiec,bkl,0.9526095390319824,False,pred,10,0,0.1711,0.4243,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/06_ISIC_0033866_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/06_ISIC_0033866_pred_fixations.npy
ISIC_0033866,akiec,bkl,0.9526095390319824,False,true,10,0,0.1381,0.5646,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/06_ISIC_0033866_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/06_ISIC_0033866_true_fixations.npy
ISIC_0030233,bcc,bcc,0.27771899104118347,True,pred,10,0,0.2292,0.3782,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/07_ISIC_0030233_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/07_ISIC_0030233_pred_fixations.npy
ISIC_0031531,bcc,bcc,0.87826007604599,True,pred,10,0,0.1401,0.5746,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/08_ISIC_0031531_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/08_ISIC_0031531_pred_fixations.npy
ISIC_0032022,bcc,bcc,0.9493420720100403,True,pred,10,0,0.1351,0.5777,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/09_ISIC_0032022_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/09_ISIC_0032022_pred_fixations.npy
ISIC_0026593,bcc,bcc,0.9879982471466064,True,pred,10,0,0.1346,0.5865,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/10_ISIC_0026593_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/10_ISIC_0026593_pred_fixations.npy
ISIC_0028964,bcc,nv,0.3580377399921417,False,pred,10,0,0.1834,0.444,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/11_ISIC_0028964_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/11_ISIC_0028964_pred_fixations.npy
ISIC_0028964,bcc,nv,0.3580377399921417,False,true,10,0,0.1263,0.6318,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/11_ISIC_0028964_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/11_ISIC_0028964_true_fixations.npy
ISIC_0027759,bcc,nv,0.5510835647583008,False,pred,10,0,0.2431,0.2414,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/12_ISIC_0027759_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/12_ISIC_0027759_pred_fixations.npy
ISIC_0027759,bcc,nv,0.5510835647583008,False,true,10,0,0.1476,0.5502,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/12_ISIC_0027759_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/12_ISIC_0027759_true_fixations.npy
ISIC_0029035,bcc,akiec,0.936504602432251,False,pred,10,0,0.1582,0.4841,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/13_ISIC_0029035_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/13_ISIC_0029035_pred_fixations.npy
ISIC_0029035,bcc,akiec,0.936504602432251,False,true,10,1,0.2091,0.4812,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/13_ISIC_0029035_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/13_ISIC_0029035_true_fixations.npy
ISIC_0024505,bkl,bkl,0.3000088036060333,True,pred,10,0,0.247,0.305,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/14_ISIC_0024505_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/14_ISIC_0024505_pred_fixations.npy
ISIC_0026861,bkl,bkl,0.8481700420379639,True,pred,10,0,0.1461,0.5292,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/15_ISIC_0026861_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/15_ISIC_0026861_pred_fixations.npy
ISIC_0031008,bkl,bkl,0.9508211016654968,True,pred,10,0,0.2059,0.3419,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/16_ISIC_0031008_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/16_ISIC_0031008_pred_fixations.npy
ISIC_0029195,bkl,bkl,0.9918688535690308,True,pred,10,0,0.1628,0.4905,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/17_ISIC_0029195_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/17_ISIC_0029195_pred_fixations.npy
ISIC_0025276,bkl,nv,0.365913450717926,False,pred,10,3,0.3369,0.3939,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/18_ISIC_0025276_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/18_ISIC_0025276_pred_fixations.npy
ISIC_0025276,bkl,nv,0.365913450717926,False,true,10,0,0.1403,0.5494,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/18_ISIC_0025276_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/18_ISIC_0025276_true_fixations.npy
ISIC_0024851,bkl,mel,0.7039041519165039,False,pred,10,0,0.1474,0.5178,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/19_ISIC_0024851_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/19_ISIC_0024851_pred_fixations.npy
ISIC_0024851,bkl,mel,0.7039041519165039,False,true,10,0,0.2423,0.263,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/19_ISIC_0024851_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/19_ISIC_0024851_true_fixations.npy
ISIC_0026893,bkl,akiec,0.9812588095664978,False,pred,10,0,0.1607,0.466,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/20_ISIC_0026893_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/20_ISIC_0026893_pred_fixations.npy
ISIC_0026893,bkl,akiec,0.9812588095664978,False,true,10,0,0.1242,0.6432,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/20_ISIC_0026893_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/20_ISIC_0026893_true_fixations.npy
ISIC_0027008,df,df,0.36619263887405396,True,pred,10,0,0.2228,0.3244,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/21_ISIC_0027008_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/21_ISIC_0027008_pred_fixations.npy
ISIC_0029973,df,df,0.9185516834259033,True,pred,10,0,0.1612,0.4898,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/22_ISIC_0029973_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/22_ISIC_0029973_pred_fixations.npy
ISIC_0027745,df,df,0.991693913936615,True,pred,10,0,0.1444,0.5338,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/23_ISIC_0027745_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/23_ISIC_0027745_pred_fixations.npy
ISIC_0033810,df,df,0.9940361976623535,True,pred,10,0,0.2067,0.3557,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/24_ISIC_0033810_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/24_ISIC_0033810_pred_fixations.npy
ISIC_0026417,df,df,0.9965875148773193,True,pred,10,0,0.1761,0.4122,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/25_ISIC_0026417_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/25_ISIC_0026417_pred_fixations.npy
ISIC_0031735,df,mel,0.5566438436508179,False,pred,10,0,0.18,0.427,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/26_ISIC_0031735_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/26_ISIC_0031735_pred_fixations.npy
ISIC_0031735,df,mel,0.5566438436508179,False,true,10,0,0.2379,0.2903,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/26_ISIC_0031735_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/26_ISIC_0031735_true_fixations.npy
ISIC_0028790,df,bcc,0.8459216952323914,False,pred,10,0,0.1544,0.4917,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/27_ISIC_0028790_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/27_ISIC_0028790_pred_fixations.npy
ISIC_0028790,df,bcc,0.8459216952323914,False,true,10,0,0.2786,0.27,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/27_ISIC_0028790_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/27_ISIC_0028790_true_fixations.npy
ISIC_0025188,mel,mel,0.2793760895729065,True,pred,10,0,0.1297,0.612,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/28_ISIC_0025188_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/28_ISIC_0025188_pred_fixations.npy
ISIC_0033559,mel,mel,0.6418245434761047,True,pred,10,0,0.2115,0.3041,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/29_ISIC_0033559_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/29_ISIC_0033559_pred_fixations.npy
ISIC_0033655,mel,mel,0.8165594935417175,True,pred,10,0,0.218,0.3559,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/30_ISIC_0033655_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/30_ISIC_0033655_pred_fixations.npy
ISIC_0032917,mel,mel,0.9698606729507446,True,pred,10,0,0.229,0.3162,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/31_ISIC_0032917_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/31_ISIC_0032917_pred_fixations.npy
ISIC_0032915,mel,vasc,0.30047035217285156,False,pred,10,3,0.233,0.3153,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/32_ISIC_0032915_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/32_ISIC_0032915_pred_fixations.npy
ISIC_0032915,mel,vasc,0.30047035217285156,False,true,10,0,0.1942,0.3557,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/32_ISIC_0032915_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/32_ISIC_0032915_true_fixations.npy
ISIC_0028029,mel,nv,0.7226995825767517,False,pred,10,1,0.23,0.3974,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/33_ISIC_0028029_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/33_ISIC_0028029_pred_fixations.npy
ISIC_0028029,mel,nv,0.7226995825767517,False,true,10,0,0.2007,0.3615,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/33_ISIC_0028029_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/33_ISIC_0028029_true_fixations.npy
ISIC_0031389,mel,nv,0.9714031219482422,False,pred,10,0,0.1299,0.6054,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/34_ISIC_0031389_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/34_ISIC_0031389_pred_fixations.npy
ISIC_0031389,mel,nv,0.9714031219482422,False,true,10,0,0.2009,0.3819,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/34_ISIC_0031389_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/34_ISIC_0031389_true_fixations.npy
ISIC_0029905,nv,nv,0.3593277335166931,True,pred,10,0,0.222,0.3053,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/35_ISIC_0029905_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/35_ISIC_0029905_pred_fixations.npy
ISIC_0027273,nv,nv,0.9194390773773193,True,pred,10,0,0.2876,0.3034,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/36_ISIC_0027273_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/36_ISIC_0027273_pred_fixations.npy
ISIC_0027417,nv,nv,0.9417107701301575,True,pred,10,0,0.2233,0.3586,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/37_ISIC_0027417_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/37_ISIC_0027417_pred_fixations.npy
ISIC_0028281,nv,nv,0.9855654835700989,True,pred,10,0,0.189,0.3619,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/38_ISIC_0028281_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/38_ISIC_0028281_pred_fixations.npy
ISIC_0033929,nv,mel,0.18569602072238922,False,pred,10,0,0.2187,0.3479,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/39_ISIC_0033929_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/39_ISIC_0033929_pred_fixations.npy
ISIC_0033929,nv,mel,0.18569602072238922,False,true,10,0,0.155,0.6341,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/39_ISIC_0033929_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/39_ISIC_0033929_true_fixations.npy
ISIC_0028390,nv,mel,0.6120773553848267,False,pred,10,0,0.2005,0.3681,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/40_ISIC_0028390_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/40_ISIC_0028390_pred_fixations.npy
ISIC_0028390,nv,mel,0.6120773553848267,False,true,10,2,0.2905,0.2821,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/40_ISIC_0028390_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/40_ISIC_0028390_true_fixations.npy
ISIC_0026569,nv,bcc,0.964906632900238,False,pred,10,0,0.1594,0.4932,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/41_ISIC_0026569_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/41_ISIC_0026569_pred_fixations.npy
ISIC_0026569,nv,bcc,0.964906632900238,False,true,10,1,0.2832,0.3275,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/failures/41_ISIC_0026569_true.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/failures/41_ISIC_0026569_true_fixations.npy
ISIC_0026713,vasc,vasc,0.7262029051780701,True,pred,10,0,0.1178,0.6796,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/42_ISIC_0026713_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/42_ISIC_0026713_pred_fixations.npy
ISIC_0026490,vasc,vasc,0.9803383350372314,True,pred,10,0,0.1957,0.3133,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/43_ISIC_0026490_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/43_ISIC_0026490_pred_fixations.npy
ISIC_0033349,vasc,vasc,0.9877235889434814,True,pred,10,1,0.1925,0.4323,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/44_ISIC_0033349_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/44_ISIC_0033349_pred_fixations.npy
ISIC_0028680,vasc,vasc,0.9907496571540833,True,pred,10,0,0.2071,0.329,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/45_ISIC_0028680_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/45_ISIC_0028680_pred_fixations.npy
ISIC_0026693,vasc,vasc,0.993298351764679,True,pred,10,0,0.1372,0.5689,ham10000/results/xai/fovex/convnext-tiny_fold3/raw/correct/46_ISIC_0026693_pred.npy,ham10000/results/xai/fovex/convnext-tiny_fold3/fixations/correct/46_ISIC_0026693_pred_fixations.npy
